staID,Lat,Lon,Elevation
05AH004,49.990091,-110.628744,
05AH005,50.023848,-110.685186,
05AH006,49.872685,-110.016454,
05AH007,49.857917,-110.061377,
05AH009,49.75634,-110.464121,
05AH010,49.741118,-110.610596,
05AH011,49.9,-110.633333,
05AH012,49.925335,-110.658951,
05AH013,49.873831,-110.639607,
05AH025,49.676919,-110.293338,
05AH032,50.002696,-110.47904,
05AH033,49.831078,-110.907315,
05AH036,49.776232,-110.279018,
05AH037,49.888364,-110.505779,
05AH038,49.828919,-110.844545,
05AH039,49.770627,-111.044108,
05AH040,49.971335,-110.051164,
05AH041,49.581435,-110.951185,
05AH042,49.741124,-110.043901,
05AH043,49.797153,-110.18838,
05AH044,49.8975,-110.496389,
05AH045,49.954167,-110.34,
05AH046,49.678266,-110.293629,
05AH047,50.162403,-110.263098,
05AH048,49.943859,-110.400552,
05AH049,50.027053,-110.636603,
05AH052,50.001902,-110.533741,
05AH053,49.915629,-110.647913,
05AH057,49.677779,-110.514689,
05AH058,49.678556,-110.183321,
05AH901,0,0,
05AH902,0,0,
05AH903,0,0,
05AH905,49.886112,-110.300001,
05AH906,0,0,
05AH907,0,0,
05AH908,0,0,
05AH909,49.783334,-110.016668,
05AH910,50.141667,-110.25,
05AH911,0,0,
05AH912,49.802779,-110.477778,
05AH913,0,0,
05AH914,49.786112,-110.270278,
05AH915,0,0,
05AH916,0,0,
05AH917,0,0,
05AH918,49.794445,-110.044444,
05AH919,49.908334,-110.325,
05AH920,0,0,
05AH921,49.55004167,-111.201686,
05AH922,49.825039,-110.93509,
05AH923,49.67791667,-111.426939,
05AH924,49.825039,-110.93509,
05AJ001,50.04296,-110.679748,
05AJ002,49.898056,-111.666667,
05AJ003,49.927778,-111.413889,
05AJ004,49.9025,-111.476667,
05AJ901,49.8,-111.7,
05AJ902,,,
05AJ903,,,
05AJ904,,,
05AJ905,,,
05AJ906,49.98335833,-110.968367,
05AJ907,49.96694444,-110.998611,
05AJU01,49,-113,
05AK001,50.737554,-110.098091,
05AKU01,50.12951,-110.67847,
05BA001,51.428966,-116.189032,
05BA002,51.434723,-116.172549,
05BA003,51.440225,-116.209244,
05BA004,51.416541,-116.214355,
05BA005,51.443035,-116.213168,
05BA006,51.245549,-115.841083,
05BA007,51.347863,-116.067914,
05BA008,51.542815,-116.296944,
05BA009,51.666758,-116.484221,
05BA010,51.580542,-116.321182,
05BA011,51.596157,-116.408987,
05BB001,51.172794,-115.573299,
05BB003,51.207082,-115.586212,
05BB004,51.099384,-115.6669,
05BB005,51.222105,-115.813078,
05BC001,51.160575,-115.557153,
05BC002,50.882691,-115.372999,
05BC003,50.884043,-115.365238,
05BC004,50.883333,-115.366667,
05BC005,50.883333,-115.366667,
05BC007,50.891166,-115.375915,
05BC008,51.061948,-115.442276,
05BD001,51.25,-115.483333,
05BD002,51.231862,-115.518588,
05BD003,51.235329,-115.487441,
05BD004,51.199167,-115.502222,
05BD005,51.287834,-115.53564,
05BE001,51.172599,-114.851998,
05BE003,51.089771,-115.09035,
05BE004,51.117199,-115.036382,
05BE006,51.21416,-114.613881,
05BE007,51.088889,-115.373611,
05BE008,51.086627,-115.366293,
05BE009,51.083333,-115.366667,
05BE901,51.083333,-115.366667,
05BE902,0,0,
05BE903,0,0,
05BE904,0,0,
05BE905,51.227322,-114.572678,
05BE999,51.218446,-114.708762,
05BEU01,51.0454,-115.2526,
05BF001,51.046065,-115.030391,
05BF002,50.614231,-115.121922,
05BF003,50.696322,-115.11915,
05BF004,50.707302,-115.117658,
05BF005,50.63333333,-115.141667,
05BF008,50.690351,-115.155143,
05BF010,50.684606,-115.14127,
05BF011,50.633572,-115.117027,
05BF013,50.790688,-115.304596,
05BF015,50.948993,-115.142995,
05BF016,50.950945,-115.1534,
05BF017,50.960168,-115.173921,
05BF018,50.958883,-115.175925,
05BF019,50.960487,-115.167176,
05BF020,50.958294,-115.200006,
05BF021,50.611201,-115.123101,
05BF022,50.700482,-115.119489,
05BF023,50.933485,-115.128233,
05BF024,51.032282,-115.042226,
05BF025,51.041882,-115.035356,
05BF901,0,0,
05BF902,0,0,
05BF903,0,0,
05BFU01,50.696322,-115.11915,
05BFU02,51.041882,-115.035356,
05BG001,51.259468,-114.764387,
05BG002,51.305327,-115.178879,
05BG003,51.283333,-115.166667,
05BG004,51.3,-115.183333,
05BG005,51.3,-115.183333,
05BG006,51.283561,-114.83949,
05BG007,51.283333,-115.15,
05BG008,51.283333,-115.15,
05BG009,51.368051,-114.992076,
05BG010,51.269927,-114.926191,
05BH001,51.044182,-114.014012,
05BH002,51.037957,-114.013199,
05BH003,51.122343,-114.047658,
05BH004,51.050323,-114.053416,
05BH005,51.182712,-114.487201,
05BH006,51.068555,-114.545531,
05BH008,51.099471,-114.226498,
05BH009,51.154204,-114.528998,
05BH010,51.1,-114.234,
05BH011,51.023834,-114.617787,
05BH013,51.000591,-114.940823,
05BH014,51.312683,-114.026927,
05BH015,51.127632,-114.567749,
05BH016,51.19011944,-114.141411,
05BH901,51.057237,-114.023549,
05BH902,0,0,
05BH903,0,0,
05BH904,51.212758,-114.166225,
05BH905,51.047222,-114.855556,
05BH906,51.171062,-114.022699,
05BH907,51.266667,-114,
05BH908,51.283333,-114.016667,
05BH909,51.265,-114.000556,
05BH910,51.264722,-114.002222,
05BH911,51.1,-114.233333,
05BH912,51.045,-114.0139,
05BH913,51.044944,-114.013611,
05BH999,51,-114,
05BHU01,51,-114,
05BHU02,51.050323,-114.053416,
05BHU03,51.182712,-114.487201,
05BJ003,50.943198,-114.577683,
05BJ004,50.949096,-114.568205,
05BJ005,50.999384,-114.098181,
05BJ006,50.855568,-114.793276,
05BJ007,50.948715,-114.573212,
05BJ009,50.795046,-114.918221,
05BJ010,50.994917,-114.164889,
05BJ011,51.031171,-114.47375,
05BJ901,0,0,
05BJ902,0,0,
05BJ903,0,0,
05BJ904,0,0,
05BJ905,0,0,
05BJ906,50.95,-114.579167,
05BJ907,0,0,
05BJ908,0,0,
05BJ909,0,0,
05BJ910,0,0,
05BJ911,0,0,
05BJ912,51.04153,-114.398333,
05BJ913,51.037222,-114.384444,
05BJ914,51.035556,-114.319444,
05BJ915,51.008611,-114.235556,
05BJ916,51.045194,-114.388278,
05BJ917,51.000556,-114.0975,
05BK002,50.929201,-114.066554,
05BK003,50.907138,-114.01743,
05BK901,50.877778,-114.1625,
05BK902,50.926944,-114.139167,
05BK903,50.927778,-114.066667,
05BL003,50.583016,-113.873412,
05BL006,50.424108,-114.245448,
05BL007,50.428256,-114.165663,
05BL008,50.530796,-114.238533,
05BL012,50.723674,-113.972722,
05BL014,50.687495,-114.24384,
05BL015,50.582778,-113.868889,
05BL016,50.619656,-113.882996,
05BL017,50.539722,-113.968889,
05BL018,50.622599,-114.435892,
05BL019,50.405388,-114.498865,
05BL020,50.712481,-113.883604,
05BL021,50.499052,-114.819179,
05BL022,50.284468,-114.591337,
05BL025,50.552222,-113.988889,
05BL026,50.530913,-114.394058,
05BL027,50.477151,-114.426861,
05BL901,0,0,
05BL902,0,0,
05BL903,0,0,
05BL904,0,0,
05BL905,0,0,
05BL906,50.721389,-113.980833,
05BL907,0,0,
05BL908,0,0,
05BL910,0,0,
05BL911,0,0,
05BL912,0,0,
05BL913,0,0,
05BL914,0,0,
05BL915,0,0,
05BL916,50.408197,-114.290278,
05BL917,0,0,
05BL918,50.408197,-114.283333,
05BL919,0,0,
05BL920,50.463661,-114.169444,
05BL921,50.463661,-114.165278,
05BL922,50.387432,-114.244444,
05BL923,50.289722,-114.226667,
05BL924,50.416667,-114.25,
05BL925,50.58238056,-113.871739,
05BLU01,50.53083,-114.23861,
05BLU02,50.55882,-113.95435,
05BLU03,50.58994,-113.86853,
05BLU04,50.73283,-113.86519,
05BLU05,50.739,-113.855,
05BM003,51.016667,-113.841667,
05BM004,50.749146,-112.543454,
05BM005,50.855556,-113.133333,
05BM006,50.816667,-113.441667,
05BM007,50.99573,-112.842918,
05BM008,50.83522,-112.763109,
05BM009,50.840556,-113.573889,
05BM010,50.908333,-113.408333,
05BM011,50.9,-113.15,
05BM012,50.858333,-113.351389,
05BM013,50.815922,-112.907901,
05BM014,50.76292,-113.236741,
05BM016,51.009444,-113.7925,
05BM017,51.061389,-113.817222,
05BM018,50.513471,-113.3444,
05BM020,50.745833,-112.516667,
05BM021,50.816667,-113.441667,
05BM901,0,0,
05BM902,0,0,
05BM903,0,0,
05BM904,51.017778,-113.818333,
05BM905,51.008889,-114.003611,
05BM906,50.828889,-113.417778,
05BM907,50.73333333,-112.516667,
05BM908,50.909975,-112.353022,
05BM909,0,0,
05BM910,50.82510278,-113.445394,
05BM911,51.01198611,-113.799964,
05BMU01,49,-113,
05BMU02,50.7969,-113.5795,
05BMU03,50.858,-113.979,
05BMU04,50.831321,-113.418685,
05BN001,50.526389,-111.870278,
05BN002,50.149643,-111.664169,
05BN003,50.534722,-111.819444,
05BN004,50.373611,-111.880556,
05BN005,50.502778,-112.147222,
05BN006,50.221919,-112.09875,
05BN007,50.044444,-111.583333,
05BN008,50.194444,-112.047222,
05BN009,50.290278,-112.181111,
05BN010,50.455556,-112.161111,
05BN011,50.533333,-112.180556,
05BN013,50.513611,-112.1425,
05BN014,50.433957,-112.23058,
05BN015,50.166667,-111.816667,
05BN016,50.2225,-112.008889,
05BN017,50.528333,-111.868611,
05BN019,50.149722,-111.684444,
05BN020,50.488889,-111.905556,
05BN021,50.383333,-112.033333,
05BN022,50.5,-111.95,
05BN023,50.195278,-112.088333,
05BN024,50.37972,-112.245668,
05BN901,50.377596,-111.847222,
05CA001,51.699667,-114.857801,
05CA002,51.926631,-114.686398,
05CA003,51.65941,-115.134374,
05CA004,51.659589,-115.407538,
05CA005,51.667267,-115.131788,
05CA008,51.6569,-115.288038,
05CA011,51.801867,-114.663325,
05CA012,51.73586,-114.65412,
05CA901,0,0,
05CA903,51.994444,-114.85,
05CA904,51.656667,-115.269444,
05CA905,51.796,-114.635,
05CA906,51.609444,-115.169444,
05CA908,51.488333,-115.076944,
05CA909,0,0,
05CA910,51.891257,-115.001389,
05CB002,51.510709,-114.673137,
05CB003,51.94258,-114.484933,
05CB005,51.362767,-114.442049,
05CB006,52.040334,-114.214851,
05CB007,52.043672,-114.214997,
05CB901,0,0,
05CB902,0,0,
05CB903,0,0,
05CB904,51.680278,-114.334167,
05CB905,51.532787,-114.312568,
05CB906,52.058743,-114.205833,
05CB910,52.0526,-114.2192,
05CB911,51.943469,-114.484147,
05CC001,52.356518,-113.792515,
05CC002,52.275705,-113.81672,
05CC003,52.311103,-114.102182,
05CC004,52.32002,-114.070428,
05CC006,52.59636,-114.05617,
05CC007,52.320291,-114.344828,
05CC008,52.756693,-114.285483,
05CC009,52.740404,-114.145087,
05CC010,52.570027,-114.602707,
05CC011,52.2678,-113.798998,
05CC012,52.115077,-114.119644,
05CC013,52.361833,-114.457389,
05CC901,52.268032,-113.971776,
05CC902,52.435556,-114.443889,
05CC903,52.8,-114.763889,
05CC904,52.752778,-114.747778,
05CC905,,,
05CC906,0,0,
05CC907,52.268611,-113.797778,
05CC908,0,0,
05CC909,0,0,
05CC911,52.282514,-114.003333,
05CC912,52.078689,-114.068889,
05CC913,52.282778,-114.003333,
05CC914,52.463056,-113.937778,
05CC915,52.460556,-113.950833,
05CC916,52.487778,-114.108333,
05CC917,52.518611,-114.024167,
05CC918,52.556944,-114.078889,
05CC919,52.586111,-114.074444,
05CC920,52.610556,-114.056667,
05CC921,52.653056,-114.062222,
05CC922,52.611389,-114.008333,
05CC923,52.580278,-113.985278,
05CC924,52.550556,-113.9525,
05CC925,52.526111,-113.936389,
05CC926,52.504167,-113.9325,
05CC927,52.469167,-113.914444,
05CC928,52.406831,-114.236066,
05CC929,52.375956,-114.150273,
05CC930,52.359611,-114.114639,
05CC931,52.328222,-114.070944,
05CC932,52.313389,-114.108361,
05CC933,52.339722,-114.159194,
05CC934,52.469444,-113.915278,
05CC935,52.372778,-114.08,
05CD001,52.601518,-113.456298,
05CD003,52.609801,-113.461831,
05CD004,52.306363,-113.077059,
05CD005,52.464808,-112.884259,
05CD006,52.332808,-113.364164,
05CD007,52.407768,-113.196812,
05CD901,,,
05CD903,52.498494,-113.118794,
05CD904,52.475833,-113.083611,
05CD905,52.4625,-113.135278,
05CD906,52.401366,-113.628889,
05CD907,52.419672,-113.580278,
05CD908,52.419945,-113.580833,
05CD909,52.420219,-113.554722,
05CD910,52.434153,-113.547778,
05CD911,52.431421,-113.548333,
05CD912,52.392896,-113.464167,
05CD913,52.41955,-113.532792,
05CD914,52.39918,-113.458056,
05CD915,52.390437,-113.447222,
05CD916,52.387978,-113.445278,
05CD917,52.37541,-113.441111,
05CD918,52.32459,-113.266389,
05CD919,52.353279,-113.458611,
05CD920,52.356831,-113.458056,
05CD921,52.376111,-113.215278,
05CD922,52.310656,-113.788056,
05CD923,52.31694,-113.774722,
05CD924,52.348361,-113.730278,
05CD925,52.269672,-113.593333,
05CD926,52.306011,-113.076389,
05CD927,52.403005,-113.196944,
05CD928,52.4025,-113.196944,
05CDU01,52.068,-112.979,
05CE001,51.467744,-112.712021,
05CE002,51.478074,-112.859036,
05CE003,51.331896,-112.790933,
05CE004,51.475039,-113.80529,
05CE005,51.293823,-113.011752,
05CE006,51.416624,-113.727959,
05CE007,51.565463,-113.074069,
05CE008,51.328772,-113.055639,
05CE009,51.268753,-112.947388,
05CE010,52.001341,-113.600683,
05CE011,51.71802,-113.362382,
05CE012,51.895647,-113.241546,
05CE013,51.576124,-113.522285,
05CE015,51.853472,-113.425428,
05CE016,51.591629,-113.515579,
05CE018,51.997896,-113.569581,
05CE019,51.562963,-114.036927,
05CE020,51.472438,-112.716303,
05CE901,51.887668,-113.464706,
05CE901_HH,51.88807,-113.46743,
05CE902,52.114722,-113.468333,
05CE903,51.208333,-112.95,
05CE904,51.646721,-113.555278,
05CE905,0,0,
05CE906,0,0,
05CE907,51.316667,-113.233333,
05CE908,51.17377,-113.2575,
05CE909,52.111749,-113.481944,
05CE910,52.112295,-113.464167,
05CE911,52.096995,-113.428333,
05CE912,52.068306,-113.404444,
05CE913,52.07541,-113.446111,
05CE914,52.078962,-113.446111,
05CE915,52.104372,-113.475833,
05CE916,52.060929,-113.416667,
05CE917,51.591389,-113.49,
05CE918,51.595278,-113.485278,
05CE919,51.599722,-113.481389,
05CE920,,,
05CE921,51.551389,-112.899444,
05CE922,51.413333,-112.636389,
05CF001,52.047208,-111.913717,
05CF002,51.764289,-111.992818,
05CF901,,,
05CF902,51.715847,-112.197222,
05CF903,52.17,-112.357222,
05CF904,,,
05CG001,51.124075,-111.904434,
05CG002,51.651509,-112.01184,
05CG003,51.099513,-111.929949,
05CG004,51.660947,-112.085001,
05CG005,51.326976,-112.479751,
05CG006,51.387017,-112.20523,
